City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,11.01,73,100,0.89,NZ,1722820516
1,dudinka,69.4058,86.1778,10.22,56,0,9.22,RU,1722820310
2,udachny,66.4167,112.4,19.88,44,100,4.81,RU,1722820455
3,albany,42.6001,-73.9662,24.24,77,0,0.45,US,1722820066
4,wenling,28.3669,121.36,29.63,76,53,2.17,CN,1722820394
5,edinburgh of the seven seas,-37.0676,-12.3116,13.68,77,51,13.26,SH,1722820521
6,lakatoro,-16.0999,167.4164,24.4,55,3,8.49,VU,1722820511
7,newman,37.3138,-121.0208,36.99,15,2,4.18,US,1722820202
8,fale old settlement,-9.3852,-171.2468,27.68,81,100,6.4,TK,1722820524
9,nar'yan-mar,67.6713,53.087,6.16,74,94,6.35,RU,1722820494
10,puerto natales,-51.7236,-72.4875,0.8,98,100,0.65,CL,1722820527
11,es castell,39.8795,4.2854,24.38,83,0,2.06,ES,1722820528
12,osakarovka,50.565,72.5692,16.65,67,73,1.7,KZ,1722820529
13,kalmunai,7.4167,81.8167,25.53,83,15,1.85,LK,1722820188
14,belyy yar,53.6039,91.3903,19.94,77,0,3.0,RU,1722820531
15,flying fish cove,-10.4217,105.6791,24.82,88,75,5.66,CX,1722820195
16,saipan,15.1355,145.701,31.39,66,40,6.69,MP,1722820533
17,punta arenas,-53.15,-70.9167,-0.94,100,75,2.57,CL,1722820070
18,isafjordur,66.0755,-23.124,8.1,85,100,8.09,IS,1722820535
19,iqaluit,63.7506,-68.5145,5.85,93,75,1.54,CA,1722820120
20,invercargill,-46.4,168.35,12.23,66,17,3.13,NZ,1722820334
21,shahrud,36.4182,54.9763,24.08,39,2,3.85,IR,1722820539
22,west island,-12.1568,96.8225,24.99,88,100,2.57,CC,1722820540
23,port-aux-francais,-49.35,70.2167,1.82,67,10,7.32,TF,1722820309
24,bethel,41.3712,-73.414,23.14,89,0,0.45,US,1722820512
25,okhotsk,59.3833,143.3,16.54,64,98,2.55,RU,1722820543
26,hawaiian paradise park,19.5933,-154.9731,25.73,88,100,7.2,US,1722820544
27,bardai,11.65,7.2333,21.04,92,88,3.77,NG,1722820054
28,stanley,54.868,-1.6985,15.95,92,40,3.09,GB,1722820547
29,olonkinbyen,70.9221,-8.7187,5.99,98,100,3.16,SJ,1722819965
30,dunedin,-45.8742,170.5036,10.94,58,9,1.63,NZ,1722819987
